"","sssdistrict","jssdistrict","ssslong","ssslat","jsslong","jsslat","distance"
"72.127","Ho Municipal","Bia (Essam)",0.526142239570618,6.71760702133179,-3.04354381561279,6.73738622665405,245.221222174702
"72.128","Ho Municipal","Ahanta West (Agona Ahanta)",0.526142239570618,6.71760702133179,-1.99056136608124,4.83470392227173,216.919427416243
"72.129","Ho Municipal","Aowin Suaman (Enchi)",0.526142239570618,6.71760702133179,-2.78972434997559,5.78654623031616,237.11063472179
"72.130","Ho Municipal","Bibiani/Anhwiaso/Bekwai (Bibiani)",0.526142239570618,6.71760702133179,-2.22354602813721,6.25989246368408,191.700163962131
"72.131","Ho Municipal","Jomoro (Half Assini)",0.526142239570618,6.71760702133179,-2.80322027206421,5.06950759887695,256.163889785447
"72.132","Ho Municipal","Juaboso Bia (Juaboso)",0.526142239570618,6.71760702133179,-2.92668342590332,6.35921287536621,238.660567124409
"72.133","Ho Municipal","Mpohor-Wassa East (Daboase)",0.526142239570618,6.71760702133179,-1.69756937026978,5.3307957649231,180.715914903701
"72.134","Ho Municipal","Nzema East (Axim)",0.526142239570618,6.71760702133179,-2.31180214881897,5.14122581481934,223.867796670681
"72.135","Ho Municipal","Sefwi Wiawso",0.526142239570618,6.71760702133179,-2.63786101341248,6.25838994979858,219.863041696018
"72.136","Ho Municipal","Shama/Ahanta/East (Sekondi/Takoradi)",0.526142239570618,6.71760702133179,-1.62365472316742,5.0811014175415,186.425038085112
"72.137","Ho Municipal","Wassa Amenfi (Asankragwa)",0.526142239570618,6.71760702133179,-2.3020179271698,5.72551774978638,206.396273993291
"72.138","Ho Municipal","Wassa West (Tarkwa)",0.526142239570618,6.71760702133179,-1.98885321617126,5.27604913711548,199.879741342212
"89","Sekyere West (Mampong)","South Dayi (Kpeve)",-1.18007683753967,7.19956493377686,0.20763073861599,6.37576246261597,111.120433811435
"89.1","Sekyere West (Mampong)","Sawla-Tuna-Kalba",-1.18007683753967,7.19956493377686,-2.36116719245911,9.40702152252197,172.661097652731
